DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
307;66.26;MEDIO;283;73.21;MEDIO;125;118.97;EXCESO;207;95.22;EXCESO;107;124.18;EXCESO;229;88.85;EXCESO;315;63.95;SECO;244;84.51;OPTIMO
308;65.97;MEDIO;285;72.63;MEDIO;133;116.65;EXCESO;208;94.93;EXCESO;116;121.58;EXCESO;235;87.11;EXCESO;316;63.66;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;286;72.34;MEDIO;140;114.63;EXCESO;211;94.06;EXCESO;148;112.31;EXCESO;241;85.38;EXCESO;317;63.37;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;286;72.34;MEDIO;146;112.89;EXCESO;213;93.49;EXCESO;166;107.10;EXCESO;245;84.22;OPTIMO;319;62.79;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;286;72.34;MEDIO;152;111.15;EXCESO;214;93.20;EXCESO;180;103.04;EXCESO;249;83.06;OPTIMO;319;62.79;SECO;247;83.64;OPTIMO
308;65.97;MEDIO;288;71.77;MEDIO;157;109.70;EXCESO;217;92.33;EXCESO;191;99.86;EXCESO;252;82.19;OPTIMO;319;62.79;SECO;247;83.64;OPTIMO
308;65.97;MEDIO;287;72.05;MEDIO;162;108.25;EXCESO;218;92.04;EXCESO;200;97.25;EXCESO;254;81.61;OPTIMO;320;62.50;SECO;247;83.64;OPTIMO
308;65.97;MEDIO;288;71.77;MEDIO;166;107.10;EXCESO;220;91.46;EXCESO;208;94.93;EXCESO;256;81.03;OPTIMO;320;62.50;SECO;247;83.64;OPTIMO
308;65.97;MEDIO;288;71.77;MEDIO;170;105.94;EXCESO;222;90.88;EXCESO;215;92.91;EXCESO;258;80.45;OPTIMO;321;62.21;SECO;247;83.64;OPTIMO
308;65.97;MEDIO;289;71.48;MEDIO;173;105.07;EXCESO;223;90.59;EXCESO;221;91.17;EXCESO;260;79.87;MEDIO;321;62.21;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;289;71.48;MEDIO;177;103.91;EXCESO;225;90.01;EXCESO;226;89.72;EXCESO;261;79.58;MEDIO;321;62.21;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;290;71.19;MEDIO;181;102.75;EXCESO;226;89.72;EXCESO;230;88.56;EXCESO;263;79.01;MEDIO;322;61.92;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;290;71.19;MEDIO;183;102.17;EXCESO;228;89.14;EXCESO;234;87.40;EXCESO;265;78.43;MEDIO;322;61.92;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;291;70.90;MEDIO;186;101.30;EXCESO;229;88.85;EXCESO;238;86.25;EXCESO;267;77.85;MEDIO;323;61.63;SECO;245;84.22;OPTIMO
308;65.97;MEDIO;291;70.90;MEDIO;188;100.73;EXCESO;230;88.56;EXCESO;241;85.38;EXCESO;268;77.56;MEDIO;324;61.34;SECO;246;83.93;OPTIMO
308;65.97;MEDIO;291;70.90;MEDIO;191;99.86;EXCESO;232;87.98;EXCESO;245;84.22;OPTIMO;270;76.98;MEDIO;324;61.34;SECO;245;84.22;OPTIMO
309;65.68;MEDIO;291;70.90;MEDIO;193;99.28;EXCESO;233;87.69;EXCESO;248;83.35;OPTIMO;272;76.40;MEDIO;325;61.05;SECO;244;84.51;OPTIMO
308;65.97;MEDIO;292;70.61;MEDIO;196;98.41;EXCESO;234;87.40;EXCESO;249;83.06;OPTIMO;273;76.11;MEDIO;325;61.05;SECO;244;84.51;OPTIMO
308;65.97;MEDIO;292;70.61;MEDIO;198;97.83;EXCESO;235;87.11;EXCESO;250;82.77;OPTIMO;274;75.82;MEDIO;324;61.34;SECO;244;84.51;OPTIMO
308;65.97;MEDIO;293;70.32;MEDIO;200;97.25;EXCESO;236;86.82;EXCESO;252;82.19;OPTIMO;276;75.24;MEDIO;325;61.05;SECO;242;85.09;EXCESO
309;65.68;MEDIO;293;70.32;MEDIO;203;96.38;EXCESO;237;86.53;EXCESO;254;81.61;OPTIMO;278;74.66;MEDIO;326;60.76;SECO;238;86.25;EXCESO
308;65.97;MEDIO;294;70.03;MEDIO;204;96.09;EXCESO;239;85.96;EXCESO;255;81.32;OPTIMO;279;74.37;MEDIO;326;60.76;SECO;236;86.82;EXCESO
309;65.68;MEDIO;294;70.03;MEDIO;206;95.51;EXCESO;239;85.96;EXCESO;256;81.03;OPTIMO;280;74.08;MEDIO;327;60.47;SECO;236;86.82;EXCESO
309;65.68;MEDIO;294;70.03;MEDIO;208;94.93;EXCESO;241;85.38;EXCESO;257;80.74;OPTIMO;282;73.50;MEDIO;327;60.47;SECO;234;87.40;EXCESO
309;65.68;MEDIO;295;69.74;MEDIO;210;94.35;EXCESO;243;84.80;OPTIMO;259;80.16;OPTIMO;283;73.21;MEDIO;327;60.47;SECO;234;87.40;EXCESO
309;65.68;MEDIO;295;69.74;MEDIO;211;94.06;EXCESO;244;84.51;OPTIMO;260;79.87;MEDIO;284;72.92;MEDIO;328;60.18;SECO;233;87.69;EXCESO
309;65.68;MEDIO;295;69.74;MEDIO;213;93.49;EXCESO;244;84.51;OPTIMO;260;79.87;MEDIO;285;72.63;MEDIO;328;60.18;SECO;234;87.40;EXCESO
